byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax,eligible,earn_nz,sd_nz
50,white,39,12491.09,9432.63,237,4.0,0.181,80,19,TAXAB,0.122,0.101,True,15251.6361416,8156.90740887
50,white,40,12865.38,9706.68,211,7.0,0.171,80,19,TAXAB,0.109,0.081,False,15519.1556092,8512.94373695
50,white,41,11562.59,8924.66,211,7.0,0.199,80,19,TAXAB,0.09,0.076,False,14435.1935081,7613.87290232
50,white,42,11029.07,10155.51,204,7.0,0.27,80,19,TAXAB,0.093,0.069,False,15108.3150685,8924.65447338
50,white,43,12494.3,9226.97,237,6.0,0.181,80,19,TAXAB,0.097,0.08,False,15255.5555556,7863.06958901
50,white,44,11158.95,9614.88,202,8.0,0.198,80,19,TAXAB,0.104,0.089,False,13913.9027431,8771.37840813
50,white,45,12111.64,9037.36,238,4.0,0.189,80,19,TAXAB,0.101,0.084,False,14934.2046856,7652.11449555
50,white,46,12158.74,8995.2,209,1.5,0.163,80,19,TAXAB,0.11,0.081,False,14526.5710872,7891.42120647
50,white,47,12818.03,9525.39,215,7.0,0.181,80,19,TAXAB,0.102,0.079,False,15650.8302808,8151.65591157
50,white,48,11844.43,9513.74,215,1.5,0.209,80,19,TAXAB,0.126,0.098,False,14973.9949431,8219.7486503
50,white,49,12420.12,9547.23,211,5.0,0.194,80,19,TAXAB,0.123,0.1,False,15409.5781638,8186.72983186
50,white,50,12384.5,10169.99,238,8.0,0.206,80,19,TAXAB,0.084,0.055,False,15597.6070529,8952.43323548
50,white,51,11061.1,9068.5,204,3.0,0.225,80,19,TAXAB,0.059,0.044,False,14272.3870968,7764.04654586
50,white,52,12062.34,8852.3,212,1.5,0.175,80,19,TAXAB,0.094,0.09,False,14621.0181818,7587.83469016
50,white,53,13112.21,9485.97,213,9.0,0.136,80,19,TAXAB,0.117,0.089,False,15176.1689815,8533.74044468
50,white,54,12205.36,9072.6,214,5.0,0.178,80,19,TAXAB,0.098,0.089,False,14848.3698297,7803.32952716
