,byr,race,interval,vmn1,vsd1,vnu1,vnms1,vfin1,year,ctr1,type,ltax,xltax
240,44,1,22,14163.34,11604.42,202,3.0,0.248,81,21,TAXAB,0.158,0.134
241,44,1,23,14633.81,11414.33,190,5.0,0.195,81,21,TAXAB,0.142,0.126
242,44,1,24,14874.79,10945.68,177,8.0,0.175,81,21,TAXAB,0.158,0.147
243,44,1,25,16131.34,11739.49,161,1.5,0.205,81,21,TAXAB,0.242,0.217
244,44,1,26,14536.81,11270.9,182,7.0,0.209,81,21,TAXAB,0.154,0.132
245,44,1,27,15358.94,11968.31,148,5.0,0.182,81,21,TAXAB,0.189,0.149
246,44,1,28,15447.48,11386.57,181,10.0,0.171,81,21,TAXAB,0.171,0.149
247,44,1,29,15771.66,12240.15,197,7.0,0.198,81,21,TAXAB,0.168,0.127
248,44,1,30,14616.96,11907.72,168,6.0,0.262,81,21,TAXAB,0.179,0.137
249,44,1,31,15032.27,12412.81,187,1.5,0.246,81,21,TAXAB,0.209,0.16
250,44,1,32,16592.4,11433.86,207,4.0,0.169,81,21,TAXAB,0.193,0.15
251,44,1,33,16495.44,12089.93,162,1.5,0.173,81,21,TAXAB,0.21,0.148
252,44,1,34,15209.4,12414.4,216,0.0,0.255,81,21,TAXAB,0.185,0.153
253,44,1,35,15352.37,11232.19,189,4.0,0.18,81,21,TAXAB,0.175,0.169
254,44,1,36,15025.9,11122.07,171,4.0,0.17,81,21,TAXAB,0.152,0.146
255,44,1,37,15263.5,11253.1,169,3.0,0.16,81,21,TAXAB,0.189,0.16
256,44,1,38,16000.95,11233.06,167,6.0,0.162,81,21,TAXAB,0.198,0.192
257,44,1,39,14861.81,12203.78,161,5.0,0.255,81,21,TAXAB,0.18,0.149
258,44,1,40,15538.41,12205.89,169,6.0,0.201,81,21,TAXAB,0.201,0.136
259,44,1,41,17232.16,11522.31,190,4.0,0.168,81,21,TAXAB,0.205,0.168
260,44,1,42,15680.74,12439.51,186,6.0,0.172,81,21,TAXAB,0.199,0.161
261,44,1,43,16043.93,12734.34,180,1.5,0.183,81,21,TAXAB,0.244,0.217
262,44,1,44,13657.36,11184.46,171,3.0,0.222,81,21,TAXAB,0.111,0.088
263,44,1,45,15654.92,11408.45,209,7.0,0.182,81,21,TAXAB,0.191,0.172
264,44,1,46,15408.95,12381.96,187,4.0,0.257,81,21,TAXAB,0.214,0.187
265,44,1,47,13047.53,11443.05,174,3.0,0.282,81,21,TAXAB,0.138,0.126
266,44,1,48,15368.57,11030.61,192,3.0,0.177,81,21,TAXAB,0.151,0.12
267,44,1,49,15086.19,11870.18,162,4.0,0.185,81,21,TAXAB,0.185,0.142
268,44,1,50,14756.24,11508.87,172,4.0,0.221,81,21,TAXAB,0.163,0.145
269,44,1,51,14987.94,11983.28,163,11.0,0.258,81,21,TAXAB,0.172,0.141
270,44,1,52,15050.19,14620.52,171,6.0,0.187,81,21,TAXAB,0.181,0.14
271,44,1,53,15691.12,11119.3,164,4.0,0.189,81,21,TAXAB,0.177,0.134
272,44,1,54,15446.73,12034.13,180,5.0,0.211,81,21,TAXAB,0.228,0.189
273,44,1,55,14710.9,11438.07,190,7.0,0.2,81,21,TAXAB,0.153,0.137
274,44,1,56,15362.31,11596.37,185,1.5,0.222,81,21,TAXAB,0.189,0.157
275,44,1,57,14579.93,11629.87,163,6.0,0.227,81,21,TAXAB,0.153,0.135
276,44,1,58,15801.83,12015.86,173,6.0,0.214,81,21,TAXAB,0.145,0.104
277,44,1,59,16146.09,12058.54,188,4.0,0.197,81,21,TAXAB,0.202,0.144
278,44,1,60,15619.99,13551.81,170,0.0,0.235,81,21,TAXAB,0.224,0.171
279,44,1,61,15801.22,11458.96,206,8.0,0.209,81,21,TAXAB,0.175,0.15
280,44,1,62,15964.89,11480.49,199,3.0,0.191,81,21,TAXAB,0.176,0.141
281,44,1,63,14351.91,11496.6,224,6.0,0.214,81,21,TAXAB,0.161,0.116
282,44,1,64,16193.6,11455.22,172,1.5,0.174,81,21,TAXAB,0.157,0.116
283,44,1,65,16099.5,12692.85,193,4.0,0.223,81,21,TAXAB,0.228,0.161
284,44,1,66,15986.38,11825.64,199,5.0,0.191,81,21,TAXAB,0.181,0.136
285,44,1,67,14428.37,11382.19,193,5.0,0.228,81,21,TAXAB,0.171,0.155
286,44,1,68,15980.35,12475.65,176,5.0,0.205,81,21,TAXAB,0.136,0.125
287,44,1,69,13612.63,11562.42,174,9.0,0.247,81,21,TAXAB,0.184,0.172
288,44,1,70,14980.59,12350.84,176,9.0,0.239,81,21,TAXAB,0.205,0.176
289,44,1,71,16409.54,11471.02,199,3.0,0.171,81,21,TAXAB,0.221,0.176
290,44,1,72,14395.07,11627.84,192,5.0,0.214,81,21,TAXAB,0.177,0.146
291,44,1,73,14055.75,11280.13,221,6.0,0.213,81,21,TAXAB,0.113,0.09
292,44,1,1,15746.02,12751.41,176,6.0,0.239,82,23,TAXAB,0.159,0.119
293,44,1,2,16443.37,13285.62,181,6.0,0.188,82,23,TAXAB,0.171,0.144
294,44,1,3,17039.07,12740.41,204,6.0,0.23,82,23,TAXAB,0.186,0.181
295,44,1,4,16668.05,13320.06,205,3.0,0.22,82,23,TAXAB,0.166,0.146
296,44,1,5,16733.86,12965.86,206,1.5,0.189,82,23,TAXAB,0.218,0.189
297,44,1,6,16218.74,12097.37,175,7.0,0.194,82,23,TAXAB,0.166,0.149
